"Company: ","Invesco Plc (IVZ:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","15.09","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6886","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","14089","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2435.175","2358.821","2167.891","2065.302","2124.461","2872.6","3246.7","3878.9","3307.6","2627.3","3487.7","3982.3","4050.4","4644.6","5147.1","5122.9","4734.4","5160.3","5314.1","6117.4","6145.6","6894.5","6048.9","5716.4","5773.5"
"cogs","1474.482","1596.704","1576.592","1510.932","1551.842","","","","","","2168.7","2460.1","2536.2","2818.5","3025.2","2975.4","2776.6","2986.1","3102.6","3602.3","3755.5","4060.6","3611.3","3711","3769.8"
"gross_profit","960.693","762.117","591.299","554.37","572.619","2872.6","3246.7","3878.9","3307.6","2627.3","1319","1522.2","1514.2","1826.1","2121.9","2147.5","1957.8","2174.2","2211.5","2515.1","2390.1","2833.9","2437.6","2005.4","2003.7"
"sga","","","","","2037.136","2114.6","2243.7","2642.1","2559.8","2143","340.7","367.8","398.3","409.9","508.6","477.1","409.2","428.7","459.2","539.8","564.1","522.7","495.1","553.8","609.7"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","164.508","287.562","352.375","417.182","-1551.842","287.5","230.7","242.5","","","238.4","242.9","265.1","292.8","336.4","312","327.2","364.6","410.5","546.8","574.8","588.9","603.6","1844.8","1825.2"
"total_opex","164.508","287.562","352.375","417.182","485.294","2402.1","2474.4","2884.6","2559.8","2143","579.1","610.7","663.4","702.7","845","789.1","736.4","793.3","869.7","1086.6","1138.9","1111.6","1098.7","2398.6","2434.9"
"operating_income","796.1849999999999","474.555","238.924","137.188","87.325","470.5","772.3","994.3","747.8","484.3","739.9","911.5","850.8","1123.4","1276.9","1358.4","1221.4","1380.9","1341.8","1428.5","1251.2","1722.3","1338.9","-393.2","-431.2"
"net_interest_income_normal","","","","","","","","","-39.7","-54.7","74.09999999999999","69.40000000000001","47.7","32.1","-60","-68.7","-81.2","-81.40000000000001","-90.2","-107.2","-108.8","-69.5","-60.8","-22.7","-16.8"
"other_nonoperating_income","-51.52","-66.181","-74.124","-72.28100000000001","-48.296","11.9","262","249.5","-51.1","-72.09999999999999","19.8","-88.8","-67.90000000000001","99.7","178.2","72.40000000000001","66.40000000000001","129.7","-113.5","-348.4","-73.3","847.7","-30.4","178","257.3"
"pretax_income","744.665","408.374","164.8","64.907","39.029","482.4","1034.3","1243.8","657","357.5","833.8","892.1","830.6","1255.2","1395.1","1362.1","1206.6","1429.2","1138.1","972.9","1069.1","2500.5","1247.7","-237.9","-190.7"
"income_tax","-264.456","-182.95","-137.577","-95.726","-74.688","-151.1","-254.6","-357.3","-236","-148.2","-197","-280","-261.4","-336.9","-390.6","-398","-338.3","-268.2","-255","-235.1","-261.6","-531.1","-322.2","69.7","70.90000000000001"
"net_income_continuing","480.209","225.424","27.223","-30.819","-35.659","331.3","779.7","886.5","421","209.3","636.8","612.1","569.2","918.3","1004.5","964.1","868.3","1161","883.1","737.8","807.5","1969.4","925.5","-168.2","-119.8"
"net_income_discontinued","","","","","","","","","","","","9.9","18.1","64.5","-3.4","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","-0.536","-111.5","-297","-212.9","60.7","113.2","-171.1","107.7","89.8","-42.5","-13","4","-14.1","-33.7","-0.3","-49.5","-45.9","-339.6","-4.8","71.3","19.4"
"other_income_statement_items","-48.799","-2.8421709430404E-14","-1.4210854715202E-14","3.5527136788005E-15","","5.6843418860808E-14","5.6843418860808E-14","","","","5.6843418860808E-14","","","-1.1368683772162E-13","1.1368683772162E-13","1.1368683772162E-13","1.1368683772162E-13","","","","1.1368683772162E-13","-2.2737367544323E-13","","-1.4210854715202E-14",""
"net_income","431.41","225.424","27.223","-30.819","-36.195","219.8","482.7","673.6","481.7","322.5","465.7","729.7","677.1","940.3","988.1","968.1","854.2","1127.3","882.8","688.3","761.6","1629.8","920.7","-96.90000000000001","-100.4"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","123.6","236.8","236.8","236.8","236.8","236.8"
"net_income_available_to_shareholders","431.41","225.424","27.223","-30.819","-36.195","219.8","482.7","673.6","481.7","322.5","465.7","729.7","677.1","940.3","988.1","968.1","854.2","1127.3","882.8","564.7","524.8","1393","683.9","-333.7","-337.2"
"eps_basic","0.66","0.28","0.03","0.62","-0.1","0.55","1.22","1.69","1.24","0.77","1.01","1.58","1.5","2.1","2.27","2.26","2.06","2.75","2.14","1.29","1.14","3.01","1.5","-0.73","-0.75"
"eps_diluted","0.63","0.28","0.03","0.61","-0.1","0.54","1.19","1.64","1.21","0.76","1.01","1.57","1.49","2.1","2.27","2.26","2.06","2.75","2.14","1.28","1.13","2.99","1.49","-0.73","-0.75"
"shares_basic","656.36","815.203","845.487","803.542","401.08","396.979","791","386","388.7","417.2","460.4","462.9","452.3","432.2","422.6","418","402.6","409.4","412.4","437.8","459.5","462.8","457.5","454.8","454.8"
"shares_diluted","687.617","815.203","845.487","806.528","401.08","402.532","810.7","397.9","398.099","423.6","463.2","464.7","453.8","433.2","423.2","418.4","402.9","409.9","412.5","440.5","462.5","465.4","459.5","456.2","456.2"
"cash_and_equiv","511.468","511.094","572.261","568.393","546.928","715.7","834.3","952.4","585.2","790","1377.2","1109.7","1123.3","1914.8","1918.2","2214.7","2070.2","2517.7","1805.4","1701.2","1710.1","2147.1","1434.1","1931.6","1931.6"
"st_investments","","118.673","111.508","133.134","958.524","31.3","187.8","177.2","123.6","182.4","308.8","283.7","","108.5","305.8","319.1","","","","","","","","",""
"receivables","1025.858","870.8099999999999","820.359","1286.668","724.0069999999999","805.3","999.6","1057.3","543","672.4","1096.9","967.3","1083.6","1491.5","1439.6","1267.9","1323.3","1547.8","906.1","1191.2","1026","1317.6","1005.5","951.6","951.6"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","185.87","414.31","348.86","325.445","120.351","1170.8","1687.3","2007.5","1122.2","1476.2","1491.6","1473.4","1291.9","1517.4","1830","6172.7","8341.1","124.4","127.1","144","149.2","","","",""
"total_current_assets","1723.196","1914.887","1852.988","2313.64","2349.81","2723.1","3709","4194.4","2374","3121","4274.5","3834.1","3498.8","5032.2","5493.6","9974.4","11734.6","4189.9","2838.6","3036.4","2885.3","3464.7","2439.6","2883.2","2883.2"
"equity_and_other_investments","","","","","","","","","965.1","842.4","7370.4","6829.8","5161.3","5574.4","6648.2","7035.2","5911.4","6332.6","6827","8637.5","8736.799999999999","9968.799999999999","8976","9221.4","9221.4"
"ppe_gross","498.593","658.672","770.485","788.919","621.119","582.716","798.1","787.4","671.3","739.1","835.4","837.7","873.1","900.2","979.6","1030","1105.8","1219.6","1273.5","1502.7","1569.9","1597","1690.9","1544.2","1544.2"
"accumulated_depreciation","-194.558","-347.658","-452.923","-484.675","-394.132","-402.716","-599.4","-607.4","-466","-518.4","-563","-524.9","-523.5","-549.4","-577","-603.1","-641.1","-728.9","-804.8","-919.2","-1006.1","-1078.9","-1129.8","-944.7","-944.7"
"ppe_net","304.035","311.014","317.562","304.244","226.987","180","198.7","180","205.3","220.7","272.4","312.8","349.6","350.8","402.6","426.9","464.7","490.7","468.7","583.5","563.8","518.1","561.1","599.5","599.5"
"intangible_assets","3551.91","3925.981","4096.926","4301.209","129.87","99","165.9","154.2","142.8","139.1","1337.2","1322.8","1287.7","1263.7","1246.7","1354","1399.4","1558.7","2176.1","7358.3","7305.6","7228","7141.2","5848.1","5848.1"
"goodwill","","","","","4317.39","4213.6","6360.7","6848","5966.8","6467.6","6980.2","6907.9","7048.2","6867.3","6579.4","6175.7","6129.2","6590.7","7157.1","8509.4","8916.299999999999","8882.5","8557.700000000001","8691.5","8691.5"
"other_lt_assets","228.05","326.599","400.31","411.195","395.574","368.7","1794.2","1548.6","102.9","118.8","209.4","139.6","146.8","182.1","79.5","107","94.99999999999601","12506.2","11510.9","11295.2","8096.3","2623.5","2081.2","1690.1","1690.1"
"total_assets","5807.191","6478.481","6667.786","7330.288","7419.631","7584.4","12228.5","12925.2","9756.9","10909.6","20444.1","19347","17492.4","19270.5","20450","25073.2","25734.3","31668.8","30978.4","39420.3","36504.1","32685.6","29756.8","28933.8","28933.8"
"accounts_payable","74.76300000000001","55.355","36.462","95.60299999999999","2218.862","516.3","168.5","235.4","1128.5","148.1","302.5","272.6","287.9","334.6","343.5","302.6","274.3","320.1","284.3","414.6","348.9","39.2","59.6","31.5","31.5"
"tax_payable","","","","","","","","","37.9","82.8","72.2","59.6","77.90000000000001","123.6","95.2","78.8","91.59999999999999","155.5","43.2","118.2","67.2","80.59999999999999","89.09999999999999","110.5","110.5"
"current_accrued_liabilities","","368.62","477.006","517.6180000000001","","289","582.3","692.7","","394.7","584.2","504.6","233.2","248.6","263.8","328.6","280.6","302.3","360.4","403.9","384.2","655.7","606.5","567.5","567.5"
"st_debt","22.865","183.231","357.896","","79.476","10","300","","297.2","","","215.1","","35.7","","","","","","","","","","",""
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","1044.806","1069.131","964.626","1295.718","28.449","1758.1","2314.6","2712.8","639.8","1672.8","2305.6","1922.5","2343.3","2986.7","3095.3","7274.7","9537.799999999999","13924.4","12507.1","11486.3","7989.5","1985.4","748.1","545.1","545.1"
"total_current_liabilities","1142.434","1676.337","1835.99","1908.939","2326.787","2573.4","3365.4","3640.9","2103.4","2298.4","3264.5","2974.4","2942.3","3729.2","3797.8","7984.7","10184.3","14702.3","13195","12423","8789.799999999999","2760.9","1503.3","1254.6","1254.6"
"lt_debt","1435.426","1229.448","959.809","1301.955","1302.168","1212.2","979","1276.4","862","745.7","7181.1","6582.5","5085.4","5770.3","6726.4","7509.8","6505.5","6875.6","7634.8","8314.9","8796.700000000001","9421.200000000001","8078","8611.299999999999","8611.299999999999"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","364.8","319.2","289.8","480.2","433.7","433.7"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","1030.7","973.7","1062.3","860.8","900.4","900.4"
"noncurrent_deferred_revenue","","","","","36.655","","","","","","229","274","311.4","331.9","359.6","358.1","397.4","335.9","387.7","1575.3","1523.5","1626.3","1662.7","1325.7","1325.7"
"other_lt_liabilities","84.806","250.428","192.146","138.394","211.054","182.5","215.5","296.1","195.3","244.7","408.6","378.5","104.3","461.8","280.9","357.6","751.6","556.2","428.5","1009.8","1080.5","846.3","329.6","492.1","492.1"
"total_liabilities","2662.666","3156.213","2987.945","3349.288","3876.664","3968.1","4559.9","5213.4","3160.7","3288.8","11083.2","10209.4","8443.4","10293.2","11164.7","16210.2","17838.8","22470","21646","24718.5","21483.4","16006.8","12914.6","13017.8","13017.8"
"common_stock","288","285","320","357","389","82","461","85","85","92","98","98","98","98","98","98","98","98","98","113","113","113","113","113","113"
"preferred_stock","","","","","","","","","","","","","","","","","","","","4010.5","4010.5","4010.5","4010.5","4010.5","4010.5"
"retained_earnings","887.282","998.784","981.884","888.829","571.574","638.7","700.7","1201.7","1476.3","1631.4","2399.9","2747.5","2930.1","3466.2","3943.6","4439.6","4833.4","5489.1","5884.5","5917.8","6085","7169.2","7518.3","6826.7","6826.7"
"aoci","-257.222","1233.429","1379.969","1529.879","1234.775","2807.5","614.5","952.1","-95.8","393.6","495.5","373.3","530.5","427.9","48.8","-446","-809.3","-391.2","-735","-587.3","-404.5","-441.5","-942.4","-801.8","-801.8"
"apic","2226.253","804.585","997.921","1205.141","1345.144","85","4966.1","5306.3","5352.6","5688.4","6262.6","6180.6","6141","6100.8","6133.6","6197.7","6227.4","6282","6334.8","7860.8","7811.4","7688","7554.9","7451.6","7451.6"
"treasury_stock","","","","","","","-577.9","-954.4","-1128.9","-892.4","-991.5","-1280.4","-1382.9","-1700.4","-1898.1","-2404.1","-2845.8","-2781.9","-3003.6","-3452.5","-3253.8","-3043.6","-3040.9","-3002.6","-3002.6"
"other_equity","0.21199999999999","0.4699999999998","0.066999999999553","0.15100000000029","-0.04700000000048001","-0.19999999999982","-0.39999999999964","-0.10000000000036","0.29999999999927","-0.099999999999454","0.10000000000036","0.099999999998545","0.099999999998545","0.099999999998545","0.10000000000036","0.10000000000036","0.10000000000036","0.099999999996726","0.10000000000036","0.20000000000073","0.19999999999891","0.20000000000073","0.20000000000073","0.20000000000073","0.20000000000073"
"minority_interest_liability","","","","","2.521","3.3","1504.6","1121.2","906.7","707.9","1096.3","1018.5","732.2","584.7","959.3","977.7","391.7","502.7","753.6","839.3","658.9","1183","1628.6","1318.4","1318.4"
"total_equity","3144.525","3322.268","3679.841","3981","3542.967","3616.3","7668.6","7711.8","6596.2","7620.8","9360.9","9137.6","9049","8977.299999999999","9285.299999999999","8863","7895.5","9198.799999999999","9332.4","14701.8","15020.7","16678.8","16842.2","15916","15916"
"total_liabilities_and_equity","5807.191","6478.481","6667.786","7330.288","7419.631","7584.4","12228.5","12925.2","9756.9","10909.6","20444.1","19347","17492.4","19270.5","20450","25073.2","25734.3","31668.8","30978.4","39420.3","36504.1","32685.6","29756.8","28933.8","28933.8"
"cfo_net_income","480.209","472.326","238.924","137.188","-36.2","219.8","482.7","673.6","421","209.3","636.8","622","587.3","982.8","1001.1","964.1","868.3","1161","883.1","737.8","807.5","1969.4","925.5","-168.2","-119.8"
"cfo_da","164.508","299.317","337.846","356.567","122.5","94.5","67.5","64.09999999999999","67.59999999999999","77.59999999999999","96.7","117.4","95","88.40000000000001","89.40000000000001","93.59999999999999","101.2","116.8","142.1","177.6","203.5","205.3","195.3","182.8","181.1"
