"Company: ","Jefferies Financial Group Inc (JEF:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","46.04","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Financial Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","9762","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","18493","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","1999-12","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2019-11","2020-11","2021-11","2022-11","2023-11","TTM"
"revenue","706.6","512.448","358.187","296.517","124.366","64.05500000000001","332.253","450.853","877.789","1080.653","575.208","374.604","642.631","9404.584000000001","10999.007","12334.907","11683.927","3848.011","5048.906","5358.656","6955.93","8945.464","7149.263","7441.399","8212.777"
"cogs","","","","","100.278","45.055","281.451","386.466","753.5119999999999","895.424","285.249","525.98","405.573","7738.465","9156.099","10202.224","9658.281999999999","2288.326","2507.595","2454.849","3630.913","4327.49","3377.686","2931.409","3216.921"
"gross_profit","706.6","512.448","358.187","296.517","24.088","19","50.802","64.387","124.277","185.229","289.959","-151.376","237.058","1666.119","1842.908","2132.683","2025.645","1559.685","2541.311","2903.807","3325.017","4617.974","3771.577","4509.99","4995.856"
"sga","","","","","165.585","148.171","190.404","240.889","311.696","353.58","345.564","241.296","166.949","194.448","674.188","795.878","757.788","797.127","778.052","1009.643","1078.956","710.149","792.99","849.526","890.174"
"rnd","","","","","","","","","","","","","","","","","","","","","","109.772","150.5","177.541","113.3"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","412.5","243.996","253.316","249.783","18.132","18.959","18.07","22.105","35.238","54.133","56.795","-20.674","36.799","118.291","168.915","245.688","224.133","117.111","110.395","152.871","158.439","274.992","214.969","173.283","273.524"
"total_opex","412.5","243.996","253.316","249.783","183.717","167.13","208.474","262.994","346.934","407.713","402.359","220.622","203.748","312.739","843.103","1041.566","981.921","914.2380000000001","888.447","1162.514","1237.395","1094.913","1158.459","1200.35","1276.998"
"operating_income","294.1","268.452","104.871","46.734","-159.629","-148.13","-157.672","-198.607","-222.657","-222.484","-112.4","-371.998","33.31","1353.38","999.8049999999999","1091.117","1043.724","645.447","1652.864","1741.293","2087.622","3523.061","2613.118","3309.64","3718.858"
"net_interest_income_normal","","","","","","","","","","-145.471","-128.754","22.148","","","-573.261","-848.422","-797.4690000000001","-812.6369999999999","-971.461","-1465.68","-945.056","-931.638","-1170.425","-2740.982","-3057.649"
"other_nonoperating_income","-56.2","-53.63","-53.284","-39.068","225.597","331.433","246.974","370.147","165.569","","","732.79","62.013","88.649","119.041","138.527","110.281","154.598","-74.901","202.995","-75.483","-337.318","-387.131","-214.389","-244.716"
"pretax_income","237.9","214.822","51.587","7.666","65.968","183.303","89.30200000000001","171.54","-57.088","-367.955","-241.154","382.94","95.32299999999999","1442.029","545.585","381.222","356.536","-12.592","606.502","478.608","1067.083","2254.105","1055.562","354.269","416.493"
"income_tax","-44.5","-68.21599999999999","11.341","144.865","35.174","20.544","1131.038","-41.771","559.771","-1673.675","-7.108","1136.968","-62.398","-539.4640000000001","-136.481","-165.971","-109.947","-25.773","-642.2859999999999","483.955","-298.673","-576.729","-273.852","-91.881","-119.146"
"net_income_continuing","193.4","146.606","62.928","152.531","101.142","203.847","1220.34","129.769","502.683","-2041.63","-248.262","1519.908","32.925","902.5650000000001","409.104","215.251","246.589","-38.365","-35.784","962.563","768.41","1677.376","781.71","262.388","297.347"
"net_income_discontinued","8.6","-30.598","-70.84699999999999","9.092000000000001","-4.088","-58.347","415.701","59.63","3.486","43.886","16.621","39.562","-7.969","-37.924","-46.911","-16.226","5.522","232.686","288.631","","","","","","-7.891"
"income_allocated_to_minority_interest","-5.5","-5.521","-5.521","-5.521","-2.761","","","","","1.387","1.685","-0.924","0.275","-10.175","10.444","9.343","31.539","-64.31999999999999","-81.121","2.133","6.829","-3.024","3.739","15.3","16.426"
"other_income_statement_items","18.5","5.521","5.932","5.521","2.761","","","","-21.875","-539.068","780.236","380.766","1.4210854715202E-14","","-5.6843418860808E-14","2.8421709430404E-14","","","","","","","","-5.6843418860808E-14","4.7961634663807E-14"
"net_income","215","116.008","-7.508","161.623","97.054","145.5","1636.041","189.399","484.294","-2535.425","550.28","1939.312","25.231","854.466","372.637","208.368","283.65","130.001","171.726","964.696","775.239","1674.352","785.449","277.688","305.882"
"preferred_dividends","","","","","","","","","","","","","","","3.397","4.062","4.063","4.063","4.375","5.103","5.634","6.949","8.281000000000001","14.616","26.789"
"net_income_available_to_shareholders","215","116.008","-7.508","161.623","97.054","145.5","1636.041","189.399","484.294","-2535.425","550.28","1939.312","25.231","854.466","369.24","204.306","279.587","125.938","167.351","959.593","769.605","1667.403","777.168","263.072","279.093"
"eps_basic","1.21","0.7","-0.05","0.97","0.53","0.68","7.59","0.88","2.22","-11","2.28","7.97","0.1","3.49","1.07","0.54","0.74","0.34","0.45","3.07","2.68","6.29","3.13","1.12","1.25"
"eps_diluted","1.21","0.7","-0.05","0.96","0.52","0.67","7.14","0.85","2.1","-11","2.25","7.85","0.1","3.44","1.06","0.54","0.74","0.34","0.45","3.03","2.65","6.13","3.06","1.1","1.22"
"shares_basic","178.177","166.519","166.844","167.196","183.121","203.8","215.552","215.226","218.15","230.494","241.437","243.379","244.425","244.583","339.673","371.889","372.43","371.211","368.197","310.694","285.693","263.595","247.378","232.609","232.609"
"shares_diluted","178.177","166.519","166.844","168.357","186.642","210.1","229.137","222.822","230.616","230.494","247.849","247.672","244.573","248.914","347.734","373.333","372.431","371.518","370.701","317.032","290.49","271.501","255.571","236.62","236.62"
"cash_and_equiv","","","","","","277.238","386.957","287.199","456.97","237.503","130.475","441.34","168.49","145.96","3907.595","4276.775","3638.648","3807.558","5275.48","7678.821","9055.147999999999","10755.133","9703.109","8526.362999999999","8526.362999999999"
"st_investments","","","","","","1084.745","1323.562","903.973","983.199","366.464","84.70699999999999","264.572","150.135","4434.164","19565.685","21221.259","18500.445","15286.286","16799.237","","","","","",""
"receivables","","","","","","160.234","377.216","69.822","133.765","138.363","163.863","150.328","339.01","814.298","5075.021","5647.393","5588.336","6550.276","7485.844","7397.063","8295.33","6240.905","5013.812","5955.644","5955.644"
"inventories","","","","","","","","","","","58.969","58.28","354.578","383.492","364.326","422.903","288.073","","","","","","","",""
"other_current_assets","","","","","","537.732","140.88","105.215","146.199","124.308","113.46","71.06999999999999","305.875","","3627.665","3450.092","751.0839999999999","985.42","578.014","806.297","611.838","13745.898","16189.153","20372.216","20372.216"
"total_current_assets","","","","","","2059.949","2228.615","1366.209","1720.133","866.638","551.474","985.59","1318.088","5777.914","32540.292","35018.422","28766.586","26629.54","30138.575","15882.181","17962.316","30741.936","30906.074","34854.223","34854.223"
"equity_and_other_investments","","","","","","","","","","3034.586","4893.123","6106.822","4218.67","","9164.050999999999","11061.431","11433.602","12121.368","11411.362","28819.981","30156.108","19353.023","14944.999","17731.366","17731.366"
"ppe_gross","","","","","","404.49","363.781","370.281","689.5700000000001","750.327","909.8","899.157","1207.272","1242.986","1299.636","1148.135","1260.552","1227.368","","385.029","897.204","911.23","906.864","1065.68","1065.68"
"accumulated_depreciation","","","","","","-121.16","-126.76","-136.065","-176.766","-215.687","-251.902","-311.786","-323.163","-385.626","-413.777","-421.759","-538.677","-518.126","","","","","","",""
"ppe_net","","","","","","283.33","237.021","234.216","512.804","534.64","657.898","587.371","884.109","857.36","885.859","726.376","721.875","709.242","","385.029","897.204","911.23","906.864","1065.68","1065.68"
"intangible_assets","","","","","","1.472","85.083","51.287","71.35599999999999","75.52800000000001","43.074","34.486","858.4690000000001","829.826","1020.528","978.373","912.022","797.968","741.03","182.954","167.157","-0.0019999999999527","0.0040000000001328","-0.0039999999999054","-0.0039999999999054"
"goodwill","","","","","","","","8.15","8.15","9.32","8.15","8.15","18.12","24.2","1748.1","1742.39","1736.34","1715.71","1722.15","1739.98","1746.31","1745.1","1736.11","1847.86","1847.86"
"other_lt_assets","3070.2","3143.637","2469.087","2541.778","4389.23","2455.652","2710.165","3643.962","5814.179","677.7809999999999","608.645","1627.879","1965.733","1859.818","2507.951","3096.916","2760.759","3097.479","3155.991","2450.109","2189.257","3356.024","2563.632","2406.036","2406.036"
"total_assets","3070.2","3143.637","2469.087","2541.778","4389.23","4800.403","5260.884","5303.824","8126.622","5198.493","6762.364","9350.298000000001","9263.189","9349.118","47866.781","52623.908","46331.184","45071.307","47169.108","49460.234","53118.352","56107.311","51057.683","57905.161","57905.161"
"accounts_payable","","","","","","407.35","259.778","127.739","41.877","35.104","31.3","18.166","80.95999999999999","588.58","8309.945","10516.491","7107.081","7373.708","7167.666","8179.013","10388.072","8413.574000000001","6207.581","7698.367","7698.367"
"tax_payable","","","","","","","","","","7.363","4.422","5.268","9.207000000000001","","","","","","","","","","","",""
"current_accrued_liabilities","","","","","","","","","187.683","98.018","107.576","151.28","162.707","","","","","","","","","3334.371","2573.927","2546.211","2546.211"
"st_debt","","","","","23.604","86.709","175.664","184.815","132.405","248.713","114.01","142.659","446.743","391.705","10791.845","10684.157","10277.527","7317.518","9096.726000000001","8053.16","9080.984","221.863","528.3920000000001","989.715","989.715"
"current_deferred_revenue","","","","","","52.632","","","86.99299999999999","98.453","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","0.396","112.646","38.954","14.099","10.992","75.265","367.673","430.467","177.515","0.85399999999993","7293.102","8904.592000000001","6840.43","8388.619000000001","8454.965","1.8189894035459E-12","","1.8189894035459E-12","","1173.648","1173.648"
"total_current_liabilities","","","","","24","659.337","474.396","326.653","459.95","562.9160000000001","624.981","747.84","877.1319999999999","981.139","26394.892","30105.24","24225.038","23079.845","24719.357","16232.173","19469.056","11969.808","9309.9","12407.941","12407.941"
"lt_debt","483.3","374.523","252.279","233.073","1148.17","1483.504","986.718","974.646","2004.145","1832.743","1657.779","1548.469","1874.389","1358.695","10686.987","11126.416","10414.882","10199.575","10729.694","9862.200999999999","10162.787","10651.466","12661.613","14557.555","14557.555"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","584.807","548.295","533.708","544.65","544.65"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_lt_liabilities","1349.8","1451.761","908.915","665.671","1065.331","380.634","121.893","90.268","71.06100000000001","107.443","105.107","90.608","97.498","","370.774","835.54399999999","1033.741","1151.429","1154.485","13737.571","13438.501","22332.702","18250.522","20592.474","20592.474"
"total_liabilities","1833.1","1826.284","1161.194","898.744","2237.501","2523.475","1583.007","1391.567","2535.156","2503.102","2387.867","2386.917","2849.019","2339.834","37452.653","42067.2","35673.661","34430.849","36603.536","39831.945","43655.151","45502.271","40755.743","48102.62","48102.62"
"common_stock","57","55","55","58","71","108","108","216","223","238","243","244","245","245","365","367","363","359","356","292","250","244","226","211","211"
"preferred_stock","","","","47.507","","","","","","","","","","","125","125","125","125","125","125","125","125","","0.042","0.042"
"retained_earnings","989.8","1092.019","1070.682","1218.464","1297.812","1416.411","3025.444","3160.758","3589.408","1053.983","1604.263","3482.623","3446.708","4240.028","4318.84","4428.069","4612.982","4645.391","4700.968","5933.389","6531.836","7940.113","8418.353999999999","7849.844","7849.844"
"aoci","","","","","","136.138","-81.502","-4.726","975.365","-29.28","985.032","1687.363","912.421","705.129","538.05","447.082","438.793","310.697","372.724","-273.039","-288.917","-372.143","-379.419","-395.545","-395.545"
"apic","84.90000000000001","54.34","54.791","154.26","613.274","598.504","609.943","520.8920000000001","783.145","1413.595","1529.064","1542.964","1570.684","1577.528","4881.031","5059.508","4986.819","4812.587","4676.038","3627.711","2911.223","2742.244","1967.781","2044.859","2044.859"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","-9.699999999999999","2.8820000000001","14.98","56.294","152.075","-0.40000000000009","0.028999999999542","0.35100000000011","-0.42599999999948","0.49900000000025","0.28799999999956","-0.1919999999991","-0.41700000000037","-0.41700000000037","-125.459","-124.501","-125.383","-124.575","-124.773","-125.356","-125.249","-125.459","0.13000000000102","-0.37300000000141","-0.37300000000141"
"minority_interest_liability","115.1","113.112","112.44","108.509","17.568","18.275","15.963","18.982","20.974","18.594","12.85","6.623","239.774","242.016","311.666","254.55","256.312","512.3579999999999","459.615","48.584","59.308","51.285","69.09399999999999","92.714","92.714"
"total_equity","1237.1","1317.353","1307.893","1643.034","2151.729","2276.928","3677.877","3912.257","5591.466","2695.391","4374.497","6963.381","6414.17","7009.284","10414.128","10556.708","10657.523","10640.458","10565.572","9628.289000000001","9463.200999999999","10605.04","10301.94","9802.540999999999","9802.540999999999"
"total_liabilities_and_equity","3070.2","3143.637","2469.087","2541.778","4389.23","4800.403","5260.884","5303.824","8126.622","5198.493","6762.364","9350.298000000001","9263.189","9349.118","47866.781","52623.908","46331.184","45071.307","47169.108","49460.234","53118.352","56107.311","51057.683","57905.161","57905.161"
"cfo_net_income","193.4","116.008","-7.508","161.623","97.054","145.5","1636.041","189.399","484.294","-2536.812","548.595","1879.239","15.287","870.99","352.087","186.459","244.275","194.321","252.847","962.563","768.41","1677.376","781.71","262.388","289.456"
"cfo_da","","","","","61.099","235.916","189.496","24","42.443","72.283","86.377","105.854","96.623","170.113","138.964","139.744","172.073","71.613","64.759","129.766","142.394","144.255","189.343","113.473","124.087"
